Model,Replication,Accuracy,F1 Score,ROC AUC,Precision, Best Parameters
Logistic Regression,1,1.0000,1.0000,1.0000,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9720,0.9730,0.9951,0.9664,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,2,0.9860,0.9861,0.9985,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9650,0.9650,0.9969,0.9718,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,3,0.9895,0.9900,0.9984,0.9803,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9685,0.9684,0.9935,0.9787,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,4,0.9825,0.9823,0.9963,0.9858,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9545,0.9547,0.9876,0.9786,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,5,0.9685,0.9691,0.9938,0.9527,"{'C': 10, 'max_iter': 10000}"
Random Forest,5,0.9720,0.9733,0.9953,0.9605,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,6,0.9790,0.9800,0.9960,0.9735,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9615,0.9625,0.9952,0.9792,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,7,0.9790,0.9787,0.9963,0.9787,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9615,0.9588,0.9917,0.9624,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,8,0.9755,0.9754,0.9958,0.9789,"{'C': 10, 'max_iter': 10000}"
